iter	Logloss
0	0.6921234815
1	0.6914732966
2	0.6905730286
3	0.6894882495
4	0.6887627779
5	0.6879273941
6	0.6873021654
7	0.6862605195
8	0.6854823915
9	0.6842181122
10	0.6834094076
11	0.6825298784
12	0.6814238028
13	0.680795228
14	0.6796582369
15	0.6787074851
16	0.6772837565
17	0.6765728061
18	0.6759349379
19	0.6750498701
20	0.6740314728
21	0.6729093001
22	0.6719941721
23	0.6714384331
24	0.6704138043
25	0.6696537147
26	0.6683119755
27	0.6676524086
28	0.6669089592
29	0.6660340336
30	0.6651689216
31	0.66416632
32	0.6637028504
33	0.6631716383
34	0.6622424153
35	0.6615009751
36	0.6607694821
37	0.6601207013
38	0.6591958743
39	0.6581680681
40	0.6573059133
41	0.6565954973
42	0.6559473457
43	0.6551124321
44	0.6543594224
45	0.6533614971
46	0.6522647501
47	0.6515868354
48	0.6505990601
49	0.6500843075
50	0.6494767689
51	0.6488527754
52	0.6481830326
53	0.6473836529
54	0.6466441352
55	0.6450902856
56	0.644149012
57	0.6436789153
58	0.6430938027
59	0.642520203
60	0.6418186688
61	0.6411861437
62	0.6406432813
63	0.6398280426
64	0.6391958338
65	0.6386860512
66	0.637775211
67	0.6368182923
68	0.6360567464
69	0.6352687787
