iter	Passed	Remaining
0	140	140314
1	185	92386
2	209	69636
3	237	59120
4	260	51776
5	282	46842
6	303	43056
7	329	40910
8	354	39008
9	380	37713
10	397	35752
11	418	34493
12	445	33795
13	505	35613
14	524	34443
15	544	33485
16	555	32117
17	574	31326
18	593	30654
19	605	29688
20	617	28791
21	633	28184
22	652	27722
23	674	27449
24	694	27083
25	705	26446
26	724	26114
27	738	25653
28	757	25373
29	775	25090
30	794	24837
31	816	24702
32	828	24273
33	843	23951
34	861	23762
35	872	23363
36	884	23019
37	896	22684
38	915	22562
39	935	22454
40	954	22319
41	968	22080
42	984	21907
43	1006	21861
44	1020	21657
45	1031	21387
46	1041	21120
47	1059	21007
48	1078	20936
49	1098	20867
50	1111	20690
51	1136	20714
52	1155	20649
53	1180	20686
54	1204	20695
55	1233	20792
56	1246	20615
57	1266	20575
58	1285	20495
59	1306	20470
60	1328	20445
61	1350	20430
62	1363	20276
63	1383	20238
64	1402	20169
65	1421	20122
66	1444	20112
67	1457	19974
68	1480	19973
69	1504	19994
70	1534	20076
71	1556	20059
72	1582	20091
73	1606	20099
74	1629	20091
75	1659	20177
76	1675	20088
77	1697	20061
78	1717	20020
79	1740	20018
80	1785	20260
81	1814	20318
82	1845	20393
83	1866	20353
84	1878	20225
85	1918	20390
86	1939	20357
87	1962	20333
88	1973	20199
89	2009	20323
90	2051	20492
91	2080	20532
92	2096	20447
93	2128	20519
94	2159	20573
95	2193	20654
96	2217	20639
97	2252	20734
98	2274	20697
99	2301	20709
100	2331	20749
101	2357	20751
102	2381	20743
103	2404	20711
104	2424	20668
105	2449	20654
106	2481	20710
107	2495	20607
108	2525	20645
109	2549	20625
110	2576	20634
111	2633	20877
112	2693	21139
113	2743	21323
114	2769	21312
115	2806	21386
116	2833	21385
117	2877	21510
118	2908	21531
119	2944	21593
120	2981	21656
121	3022	21748
122	3047	21729
123	3082	21775
124	3114	21804
125	3168	21975
126	3215	22106
127	3268	22268
128	3321	22423
129	3361	22498
130	3394	22520
131	3423	22509
132	3469	22614
133	3510	22686
134	3583	22960
135	3620	23001
136	3665	23089
137	3698	23101
138	3732	23117
139	3772	23175
140	3796	23130
141	3836	23182
142	3895	23347
143	3939	23415
144	3988	23521
145	4012	23468
146	4069	23614
147	4137	23819
148	4248	24262
149	4317	24465
150	4374	24596
151	4440	24771
152	4489	24855
153	4508	24769
154	4531	24704
155	4551	24622
156	4571	24546
157	4600	24518
158	4631	24496
159	4647	24397
160	4673	24353
161	4706	24344
162	4727	24275
163	4746	24194
164	4769	24135
165	4784	24036
166	4803	23959
167	4822	23884
168	4843	23816
169	4866	23761
170	4885	23683
171	4903	23604
172	4918	23512
173	4944	23472
174	4965	23410
175	4977	23305
176	4997	23235
177	5015	23160
178	5033	23087
179	5053	23021
180	5073	22955
181	5094	22898
182	5113	22829
183	5136	22779
184	5166	22759
185	5208	22792
186	5261	22872
187	5283	22821
188	5297	22732
189	5318	22672
190	5336	22605
191	5356	22543
192	5375	22478
193	5398	22429
194	5417	22364
195	5437	22303
196	5461	22260
197	5482	22207
198	5507	22168
199	5526	22105
200	5547	22053
201	5570	22004
202	5589	21945
203	5608	21885
204	5629	21830
205	5640	21741
206	5663	21697
207	5690	21668
208	5716	21634
209	5732	21564
210	5753	21514
211	5765	21430
212	5790	21394
213	5821	21383
214	5851	21363
215	5872	21316
216	5893	21267
217	5914	21214
218	5939	21182
219	5963	21143
220	5985	21098
221	6005	21046
222	6035	21028
223	6053	20972
224	6096	20999
225	6116	20947
226	6134	20889
227	6158	20851
228	6179	20805
229	6198	20750
230	6218	20701
231	6242	20665
232	6261	20612
233	6282	20565
234	6304	20522
235	6327	20483
236	6348	20438
237	6358	20358
238	6368	20277
239	6387	20228
240	6408	20184
241	6428	20135
242	6447	20086
243	6472	20054
244	6494	20013
245	6507	19944
246	6526	19895
247	6547	19852
248	6560	19785
249	6578	19734
250	6597	19686
251	6616	19640
252	6642	19612
253	6671	19594
254	6700	19576
255	6723	19541
256	6738	19480
257	6749	19412
258	6763	19350
259	6782	19302
260	6801	19258
261	6815	19197
262	6837	19160
263	6866	19143
264	6883	19090
265	6905	19054
266	6926	19016
267	6942	18962
268	6956	18905
269	6981	18875
270	7010	18859
271	7040	18844
272	7064	18812
273	7089	18784
274	7110	18745
275	7136	18720
276	7160	18689
277	7175	18634
278	7195	18595
279	7214	18552
280	7228	18494
281	7240	18434
282	7257	18388
283	7277	18347
284	7296	18305
285	7320	18275
286	7343	18243
287	7358	18192
288	7378	18152
289	7392	18097
290	7412	18059
291	7430	18016
292	7448	17973
293	7485	17975
294	7500	17924
295	7521	17889
296	7541	17851
297	7560	17811
298	7575	17760
299	7594	17721
300	7614	17683
301	7627	17628
302	7641	17577
303	7664	17547
304	7690	17523
305	7705	17476
306	7725	17439
307	7744	17400
308	7766	17368
309	7799	17360
310	7829	17345
311	7852	17315
312	7873	17281
313	7893	17245
314	7912	17207
315	7923	17151
316	7944	17117
317	7955	17061
318	7979	17035
319	8001	17002
320	8027	16979
321	8047	16945
322	8067	16908
323	8092	16884
324	8114	16852
325	8142	16833
326	8156	16787
327	8181	16761
328	8201	16727
329	8216	16681
330	8237	16648
